player_id,match_id,region,device,ping,score,kills,deaths,match_duration_seconds
P0108,M2322,SEA,PC,68,438,0,1,495
P0616,M0385,SEA,Android,49,1895,10,13,482
P0111,M1664,India,PC,74,1711,8,4,416
P0813,M2335,India,iOS,65,2482,12,10,449
P0493,M0978,SEA,iOS,102,1520,9,3,510
P1128,M1312,North America,iOS,87,1249,6,9,463
P0288,M2047,India,Android,68,1602,11,11,425
P0667,M1377,Europe,Android,68,672,4,12,539
P0689,M1904,Europe,iOS,73,1554,7,5,483
P1191,M2560,India,Android,85,1697,10,11,459
P1195,M1993,SEA,PC,97,1046,7,6,367
P0860,M0484,Europe,Android,77,2114,13,7,455
P0729,M1086,India,Android,125,1887,12,3,340
P0316,M2336,North America,Android,20,1063,4,6,403
P0866,M0918,Europe,Android,80,1699,10,5,304
P0169,M1752,Europe,Android,92,2068,11,14,434
P0813,M0311,Europe,Android,72,1394,7,1,345
P0182,M2875,SEA,iOS,45,3428,21,22,487
P0651,M1420,India,Android,85,1374,6,7,386
P0651,M0421,Europe,Android,114,1603,9,16,381
P0737,M2748,India,Android,48,3548,22,3,361
P0244,M2858,India,iOS,37,1095,6,10,416
P1163,M2977,North America,iOS,87,1881,9,9,432
P0403,M1985,SEA,Android,137,1718,11,1,542
P0082,M2493,India,Android,66,995,3,3,536
P0599,M1502,India,Android,78,1433,10,11,532
P1113,M2083,Europe,Android,63,2433,15,1,393
P1167,M0903,SEA,iOS,88,1653,9,4,526
P0178,M1902,India,Android,69,3694,25,17,438
P0519,M1402,North America,Android,74,700,5,4,516
P0918,M1818,North America,iOS,28,522,4,7,377
P0637,M0744,India,iOS,91,4178,27,2,566
P0231,M2474,SEA,Android,31,2054,12,6,482
P0648,M0064,India,Android,92,2023,12,13,375
P1181,M1514,North America,PC,93,1945,9,18,445
P0339,M0148,SEA,iOS,20,2751,17,9,331
P1004,M2530,Latin America,PC,76,1799,11,8,382
P0991,M1608,Europe,PC,66,1357,8,8,214
P0520,M1434,SEA,Android,43,2335,15,6,297
P0283,M0891,Latin America,PC,95,3193,17,10,558
P0243,M2413,Europe,iOS,73,2559,15,2,364
P1143,M1843,India,iOS,61,163,0,7,478
P0488,M1781,North America,iOS,90,1547,10,1,338
P0156,M1695,Europe,iOS,20,2093,10,10,444
P0167,M2793,India,Android,108,2014,12,12,538
P0876,M1001,North America,iOS,93,896,4,7,441
P0104,M2808,SEA,Android,109,1188,5,3,538
P0168,M1129,Latin America,iOS,20,2184,13,19,487
P0574,M1765,Europe,Android,52,116,0,1,524
P0015,M0906,Latin America,iOS,96,160,0,8,306
P0052,M0320,Latin America,iOS,55,2425,14,9,431
P0544,M0429,North America,Android,109,2119,13,6,388
P0984,M1818,North America,Android,86,837,5,11,233
P1015,M2094,North America,Android,59,2650,18,8,358
P0976,M2204,India,Android,43,3281,20,1,484
P0006,M0128,North America,iOS,57,1037,6,5,494
P0652,M2352,Europe,iOS,117,2457,17,6,448
P0309,M1948,Latin America,Android,82,2436,12,17,409
